combo_idx,variable,avg,std,conf80,conf90,conf95,conf99
0,,80.74056015,37.32748382,2.758532203,3.545144901,4.224002435,5.560166471
1,NK,54.99835985,47.16299928,3.485385002,4.479264319,5.336995785,7.025229145
2,NK,30.16955693,38.25218245,2.826868203,3.632967339,4.328641935,5.697906221
3,NK,12.08766303,27.25201794,2.013946866,2.588236402,3.083856139,4.059361652
4,NK,8.060772968,22.80794792,1.685526384,2.166164766,2.580962275,3.397389117
5,NK,4.177211202,16.03148237,1.184739924,1.522575918,1.814133009,2.38799141
6,NK,4.775862455,15.8238363,1.169394707,1.502854916,1.790635645,2.357061206
7,B,48.79912328,47.11830114,3.482081772,4.475019152,5.331937714,7.018571072
8,B,33.5802801,42.80217753,3.163116636,4.065099115,4.843522349,6.37565697
9,B,23.83848626,43.19342278,3.192029986,4.102257287,4.887795917,6.433935441
10,B,17.96340585,37.10307155,2.741947948,3.523831543,4.198607796,5.526738833
11,B,12.82223151,33.29265403,2.460354914,3.161940495,3.767418462,4.959152874
12,B,9.281188198,27.09583788,2.002405029,2.573403338,3.066182701,4.036097637
13,T,72.05769801,43.54358379,3.217907177,4.135513521,4.927420365,6.486094154
14,T,65.33121665,47.23737046,3.490881095,4.486327657,5.345411676,7.036307206
15,T,60.09168139,48.04221686,3.550359915,4.562767235,5.43648862,7.156194204
16,T,60.35368981,44.60826092,3.296587706,4.236630294,5.047899925,6.644684595
17,T,59.61057223,44.09552728,3.258696262,4.187933868,4.989878651,6.568309653
18,T,54.41052254,44.15104682,3.262799202,4.193206787,4.996161278,6.576579641
19,all,11.05282759,29.19821748,2.157772636,2.77307499,3.30408935,4.34926047
20,all,0.838982999,0.415687346,0.030719642,0.03947954,0.047039451,0.061919278
21,all,0.513727173,0.062822623,0.004642644,0.005966523,0.007109049,0.00935783
22,all,0.349809428,0.070961642,0.005244125,0.006739519,0.008030066,0.010570189
23,all,0.769717223,0.172979872,0.012783357,0.016428611,0.019574515,0.025766454
24,all,0.724968109,0.005187233,0.000383341,0.000492653,0.000586991,0.000772671
