combo_idx,variable,avg,std,conf80,conf90,conf95,conf99
0,,6.84825555,4.649734755,0.343619278,0.441604463,0.52616702,0.692607608
1,NK,6.442048338,4.92234698,0.363765549,0.467495569,0.557015997,0.733214935
2,NK,6.026819171,4.962179121,0.366709178,0.471278592,0.561523428,0.739148186
3,NK,5.739194808,4.928400886,0.364212938,0.468070534,0.557701061,0.734116703
4,NK,5.614751998,4.988375543,0.368645115,0.473766574,0.564487833,0.74305031
5,NK,5.608458073,4.729601068,0.349521466,0.449189696,0.535204744,0.704504204
6,NK,5.553109883,5.003647026,0.369773691,0.47521697,0.566215964,0.745325095
7,B,5.313835209,4.005745745,0.296027953,0.380442174,0.453292803,0.596681343
8,B,4.845995105,3.730477272,0.275685383,0.354298793,0.422143243,0.555678351
9,B,4.435016484,3.448098343,0.254817345,0.327480103,0.390189059,0.513616211
10,B,4.08263595,3.347360261,0.247372717,0.317912593,0.378789472,0.498610632
11,B,3.809651268,3.053397528,0.225648625,0.289993741,0.345524457,0.45482301
12,B,3.77276189,3.073993686,0.227170698,0.291949843,0.347855132,0.457890939
13,T,5.908977788,3.992946055,0.295082045,0.379226535,0.451844382,0.594774748
14,T,4.69874714,3.579304491,0.264513589,0.339941292,0.405036433,0.533160202
15,T,3.75773326,2.965377644,0.219143882,0.28163413,0.33556407,0.441711888
16,T,2.746725851,1.87969268,0.138910858,0.178522157,0.212707251,0.279992197
17,T,2.335623099,1.075188437,0.079457323,0.102115075,0.121669025,0.160156166
18,T,2.168018689,0.785308671,0.058034966,0.074583999,0.088866042,0.116976729
19,all,3.047774471,2.993689134,0.221236125,0.284322989,0.338767817,0.445929065
20,all,1.299994309,1.660735284,0.122729723,0.157726871,0.187929889,0.247377099
21,all,0.852729764,0.695623964,0.051407191,0.066066273,0.078717262,0.10361762
22,all,0.285070651,0.585020676,0.043233516,0.055561823,0.066201322,0.087142556
23,all,0,0,0,0,0,0
24,all,0,0,0,0,0,0
