combo_idx,variable,avg,std,conf80,conf90,conf95,conf99,cum80,cum90,cum95,cum99
0,,77.31730126,29.10635776,1.862806897,2.393997926,2.852423061,3.754720152,106.1696755,112.5877436,113.507709,118.2708755
1,NK,55.65251127,37.34502882,2.390081844,3.07162862,3.659812824,4.817508718,80.72174428,112.6410227,114.8564321,118.2708755
2,NK,36.99284145,37.92267495,2.427051197,3.119140014,3.716422145,4.892025068,68.81980027,84.85281374,109.4166349,118.2708755
3,NK,16.34730851,31.5331573,2.018122067,2.593602188,3.090249416,4.067777292,42.19004622,68.41052551,89.4427191,115.7410904
4,NK,3.685979255,12.5626881,0.804012039,1.033281097,1.231143434,1.620586765,1.526699977,1.967482422,22.11720939,73.43074537
5,NK,1.349306031,2.986578691,0.191141036,0.245646097,0.292684712,0.385268651,1.26368268,1.47027261,1.957382605,17.88854382
6,NK,1.195907893,8.126766226,0.520113038,0.668426522,0.79642309,1.048352843,1.326729014,1.520988103,2.184643909,48
7,B,77.16483649,30.8283812,1.973016397,2.535634354,3.021181358,3.976861175,106.2291561,112.8716085,116.3786922,121.4907404
8,B,74.72303361,37.26571081,2.385005492,3.065104714,3.652039659,4.807276694,114.0897834,118.2708755,119.8714755,121.4907404
9,B,72.26188613,46.16741957,2.954714852,3.79727026,4.524407118,5.955597125,113.758435,118.2708755,119.8875517,121.4907404
10,B,66.55120515,47.78244429,3.058076434,3.930106042,4.68267954,6.163935313,111.629792,118.2708755,119.8828262,121.4907404
11,B,63.7058409,47.8166276,3.060264166,3.93291762,4.686029505,6.168344961,113.757398,119.8673464,119.9059218,121.4907404
12,B,62.74234849,50.00180923,3.20011579,4.112648809,4.900177304,6.45023339,113.7606472,119.8608835,119.910257,121.4907404
13,T,76.9127383,32.53207864,2.082053033,2.675763468,3.188143707,4.196638144,110.0225468,113.2663048,118.2708755,121.4907404
14,T,73.58220836,35.32022534,2.260494422,2.905088534,3.461382083,4.556309069,111.0074688,113.4548368,118.2708755,121.4907404
15,T,71.79430023,35.53329583,2.274130933,2.922613582,3.482262991,4.583795162,108.1665383,112.8716085,117.6435294,119.8882058
16,T,69.33417432,39.0433614,2.49877513,3.211316475,3.826249418,5.036593621,112.6410227,116.7039214,118.2708755,119.9288596
17,T,67.60130527,37.46250478,2.397600306,3.081291018,3.671325468,4.832663117,112.6410227,116.7228904,118.2708755,119.8322326
18,T,65.45979156,39.34213595,2.517896701,3.235890682,3.855529324,5.075135538,104.0768947,116.701364,118.2708755,119.8734703
19,all,27.52764324,38.75460686,2.480294839,3.187566414,3.797951472,4.999344284,70.34202158,80.62047494,112.6410227,117.9556358
20,all,1.838077675,10.08077389,0.645169529,0.829143652,0.987915841,1.300419831,0.879277332,0.903921556,0.941601999,83.42288881
21,all,0.478655689,0.113837779,0.007285618,0.009363157,0.011156102,0.014685073,0.521278826,0.571415983,0.801755987,0.840162669
22,all,0.470724364,0.111951487,0.007164895,0.00920801,0.010971246,0.014441742,0.512641236,0.56194762,0.788470891,0.826241174
23,all,0.415852025,0.098901302,0.006329683,0.008134632,0.009692328,0.012758268,0.452882647,0.496441386,0.696558839,0.72992624
24,all,0.242620547,0.057701987,0.003692927,0.004745988,0.005654795,0.007443556,0.264225323,0.289638798,0.406393323,0.425860866
