combo_idx,variable,avg,std,conf80,conf90,conf95,conf99,cum80,cum90,cum95,cum99
0,,8.119315951,6.265584769,0.464776765,0.597310765,0.711689422,0.936815668,12.51607989,20.05485757,25.43672025,25.43672025
1,NK,7.066322947,5.447229291,0.404499929,0.519845611,0.619390516,0.815320169,12.78939313,12.78939313,16.61715905,19.11276162
2,NK,6.439378835,5.468171322,0.335499111,0.43116878,0.513733014,0.676240396,10.6460096,12.78939313,14.68687157,19.11276162
3,NK,5.528434799,5.621793876,0.340486975,0.437578964,0.52137068,0.686294059,10.61759602,12.78939313,19.11276162,19.11276162
4,NK,5.376664748,5.569707978,0.321445442,0.413107618,0.492213332,0.647913468,9.396839703,12.78939313,19.11276162,19.11276162
5,NK,5.058944372,5.5992832,0.334224081,0.429530166,0.511780624,0.673670413,9.85123099,12.78939313,19.11276162,19.11276162
6,NK,4.4423107,5.476538743,0.277598248,0.356757123,0.425072317,0.559533968,8.976617923,10.92853862,19.11276162,19.11276162
7,B,7.805954825,5.225648741,0.446838928,0.574257841,0.684222108,0.900659714,9.321590507,12.51607989,16.89043519,31.7609165
8,B,7.01158514,3.548850541,0.401366554,0.515818735,0.614592535,0.80900446,8.804035293,9.252649479,12.51607989,23.13549454
9,B,6.546084131,2.649351675,0.374719721,0.481573392,0.573789573,0.755294438,8.626119828,8.96201502,9.275619272,12.51607989
10,B,6.099715148,2.722212015,0.349168069,0.448735527,0.534663606,0.70379189,8.44930267,8.903767671,11.27569025,12.51607989
11,B,6.049120349,2.623389658,0.346271854,0.445013438,0.530228777,0.697954206,8.365113057,8.833954745,11.50000949,12.51607989
12,B,6.042263099,3.074734902,0.345879322,0.444508973,0.529627712,0.697163009,8.399384392,10.62016365,11.50694676,12.51607989
13,T,5.51965632,5.137011087,0.315963565,0.40606255,0.483819208,0.63686406,8.137499558,12.51607989,12.78939313,25.43672025
14,T,4.118947775,3.501894807,0.235782329,0.303017134,0.361041691,0.475248757,6.195267221,8.193548381,12.51607989,12.78939313
15,T,3.513137878,3.158390098,0.201103747,0.258449737,0.307940112,0.40534974,6.195267221,6.195267221,12.51607989,12.78939313
16,T,3.184583657,2.910870247,0.182296206,0.234279108,0.279141065,0.36744079,6.195267221,6.195267221,8.365113057,12.51607989
17,T,2.755801162,2.512811832,0.157751263,0.202735022,0.241556622,0.31796739,6.195267221,6.195267221,6.195267221,12.51607989
18,T,2.678119373,2.522081872,0.153304498,0.197020234,0.234747513,0.30900438,4.303133283,6.195267221,6.195267221,12.51607989
19,all,3.302241455,3.730345586,0.189031331,0.242934797,0.289454226,0.381016277,5.412783266,8.531847155,10.70387145,12.78939313
20,all,1.102887958,1.590253734,0.063132991,0.081135757,0.096672392,0.127252434,1.675118524,5.250522951,5.294610186,5.339915008
21,all,0.403457823,0.524436049,0.023095273,0.029681035,0.035364637,0.04655141,0.332289232,0.332289232,0.332289232,5.254299244
22,all,0.332289232,2.50E-15,0.019021346,0.024445401,0.029126435,0.0383399,0.332289232,0.332289232,0.332289232,0.332289232
23,all,0.332289232,2.50E-15,0.019021346,0.024445401,0.029126435,0.0383399,0.332289232,0.332289232,0.332289232,0.332289232
24,all,0.332289232,2.50E-15,0.019021346,0.024445401,0.029126435,0.0383399,0.332289232,0.332289232,0.332289232,0.332289232
