combo_idx,variable,avg,std,conf80,conf90,conf95,conf99,cum80,cum90,cum95,cum99
0,,47.13502056,21.05600774,2.698166018,3.467564922,4.131566715,5.43849088,64.71835753,72.06182069,89.38863257,105.5069578
1,NK,38.64046945,17.01825826,2.211909539,2.842649369,3.386986482,4.458380165,54.18807938,61.3740178,64.71676487,72.90734875
2,NK,35.35689419,25.33016029,2.023946723,2.601087781,3.09916842,4.079517614,59.3620618,64.71676487,70.2271514,74.75036537
3,NK,19.93329777,25.54974275,1.141048546,1.46642567,1.747230586,2.299925975,52.21199058,59.3620618,70.2271514,78.89719972
4,NK,10.99002277,21.23226739,0.629105613,0.80849901,0.963317969,1.268041001,6.967386176,56.22404522,66.52641685,81.15640199
5,NK,2.857876002,4.051056868,0.163594368,0.210244325,0.250503876,0.329744899,3.361135862,3.541121616,4.835484695,7.459439183
6,NK,2.531663612,2.663917207,0.144920881,0.186245977,0.2219101,0.292106152,3.413206763,4.343621802,6.204541351,7.445099441
7,B,42.58964748,16.14069436,2.437973681,3.133177113,3.733147199,4.9140407,54.34158298,61.20475533,65.57997557,76.40806648
8,B,35.18574184,18.21134329,2.014149391,2.588496678,3.084166255,4.059769866,52.39764858,57.83544503,61.20475533,70.1868569
9,B,30.14027172,17.05393399,1.725329828,2.217318412,2.6419113,3.477617935,46.83425243,53.32810493,54.34158298,70.1868569
10,B,24.22666588,22.02409887,1.386815277,1.782274321,2.123560893,2.795299543,50.05715174,53.50705334,55.26198876,68.62023784
11,B,20.19166678,22.4661155,1.155838451,1.485433009,1.769877628,2.329736878,47.95643955,53.50705334,54.89701756,67.13395124
12,B,18.20546556,22.75255531,1.042141659,1.339314866,1.595779415,2.100566781,46.53035225,53.50705334,55.26198876,67.43200013
13,T,40.01069303,19.54467959,2.290345714,2.943452109,3.507091874,4.61647808,54.34158298,64.71835753,72.06182069,75.46863483
14,T,38.59951247,20.88047951,2.209565025,2.839636302,3.383396444,4.453654503,54.34158298,65.72791615,66.52530948,74.00634663
15,T,37.35470907,22.27294908,2.13830832,2.748060302,3.274284616,4.310027708,54.20691332,66.52530948,66.52530948,74.00634663
16,T,36.96309476,22.65183627,2.115891009,2.719250555,3.239958108,4.264842815,54.19929614,66.52530948,66.52530948,66.77882131
17,T,36.35411408,23.75478413,2.081030921,2.674449894,3.186578597,4.194577949,54.20489852,66.52530948,66.52530948,74.00634663
18,T,36.45551826,23.18391842,2.201322315,2.829043131,3.370774795,4.437040291,54.21218734,66.52530948,66.52530948,74.00634663
19,all,34.43440335,17.93090853,1.971140267,2.533223233,3.018308533,3.9730796,52.21199058,54.89701756,66.52530948,66.52530948
20,all,1.653148298,4.226135018,0.09463173,0.12161656,0.144904837,0.190742082,1.175370644,1.175370644,2.358793223,2.433728935
21,all,4.502916941,2.081489928,0.257762006,0.331264454,0.394698072,0.519551544,6.33664857,6.361275192,6.373769594,6.393641812
22,all,2.280902713,2.072798091,0.13056649,0.167798341,0.199929938,0.263173081,2.18081036,6.300093828,6.319579222,6.334813378
23,all,1.423654557,0.455217727,0.081494742,0.104733477,0.124788824,0.16426284,1.62471705,1.641268802,2.08412426,2.118620027
24,all,1.085636497,0.12222698,0.096491464,0.124006607,0.147752554,0.194490606,1.491044457,1.609394413,1.705832286,1.734968788
